iter	Passed	Remaining
499	225	451
500	226	450
501	226	450
502	226	449
503	227	449
504	227	448
505	228	448
506	228	447
507	229	447
508	229	446
509	229	446
510	230	446
511	230	445
512	231	445
513	232	445
514	232	444
515	233	444
516	233	444
517	234	443
518	234	443
519	235	443
520	235	442
521	236	442
522	236	441
523	236	441
524	237	440
525	237	440
526	238	439
527	238	439
528	239	439
529	239	438
530	240	438
531	240	437
532	241	437
533	241	436
534	241	436
535	242	435
536	242	435
537	243	435
538	243	434
539	244	434
540	244	433
541	245	433
542	245	432
543	246	432
544	246	431
545	246	431
546	247	430
547	247	430
548	248	430
549	248	429
550	249	429
551	249	428
552	250	428
553	250	427
554	250	427
555	251	426
556	251	426
557	252	425
558	252	425
559	253	424
560	253	424
561	254	424
562	254	423
563	254	423
564	255	422
565	256	422
566	256	422
567	256	421
568	257	421
569	257	420
570	258	420
571	258	419
572	259	419
573	259	418
574	260	418
575	260	417
576	261	417
577	261	417
578	261	416
579	262	416
580	262	415
581	263	415
582	263	415
583	264	414
584	264	414
585	265	413
586	265	413
587	266	412
588	266	412
589	266	411
590	267	411
591	267	410
592	268	410
593	268	409
594	269	409
595	269	408
596	270	408
597	270	408
598	271	407
599	271	407
600	272	407
601	272	406
602	273	406
603	273	405
604	273	405
605	274	404
606	274	404
607	275	404
608	275	403
609	276	402
610	276	402
611	277	402
612	277	401
613	277	401
614	278	400
615	278	400
616	279	399
617	279	399
618	280	399
619	281	398
620	281	398
621	281	397
622	282	397
623	282	396
624	283	396
625	283	395
626	284	395
627	284	394
628	284	394
629	285	394
630	285	393
631	286	393
632	286	392
633	287	392
634	287	391
635	288	391
636	288	390
637	288	390
638	289	389
639	289	389
640	290	388
641	290	388
642	291	388
643	291	387
644	291	387
645	292	386
646	292	386
647	293	385
648	293	385
649	294	384
650	294	384
651	295	383
652	295	383
653	296	382
654	296	382
655	297	382
656	297	382
657	298	381
658	298	381
659	299	380
660	299	380
661	300	380
662	300	379
663	301	379
664	301	378
665	301	378
666	302	377
667	302	377
668	303	376
669	303	376
670	304	376
671	305	375
672	305	375
673	305	374
674	306	374
675	306	373
676	307	373
677	307	372
678	308	372
679	308	371
680	308	371
681	309	371
682	309	370
683	310	370
684	310	369
685	311	369
686	311	368
687	312	368
688	312	367
689	313	367
690	313	367
691	314	366
692	314	366
693	315	365
694	315	365
695	315	364
696	316	364
697	316	363
698	317	363
699	317	362
700	317	362
701	318	361
702	318	361
703	319	361
704	319	360
705	320	360
706	320	359
707	321	359
708	321	358
709	322	358
710	322	357
711	322	357
712	323	356
713	323	356
714	324	356
715	324	355
716	325	355
717	325	354
718	326	354
719	326	353
720	327	353
721	327	353
722	328	352
723	328	352
724	329	351
725	329	351
726	330	350
727	330	350
728	330	349
729	331	349
730	331	348
731	332	348
732	332	348
733	333	347
734	333	347
735	333	346
736	334	346
737	334	345
738	335	345
739	335	344
740	336	344
741	336	344
742	337	343
743	337	343
744	338	342
745	338	342
746	339	341
747	339	341
748	339	340
749	340	340
750	340	340
751	341	339
752	341	339
753	342	338
754	342	338
755	343	337
756	343	337
757	344	336
758	344	336
759	345	336
760	345	335
761	346	335
762	346	334
763	347	334
764	347	333
765	347	333
766	348	332
767	348	332
768	349	331
769	349	331
770	350	330
771	350	330
772	350	330
773	351	329
774	352	329
775	352	328
776	352	328
777	353	327
778	353	327
779	354	326
780	354	326
781	354	325
782	355	325
783	355	324
784	356	324
785	356	323
786	357	323
787	357	323
788	357	322
789	358	322
790	358	321
791	359	321
792	359	320
793	360	320
794	360	319
795	361	319
796	361	319
797	362	318
798	362	318
799	363	317
800	363	317
801	363	316
802	364	316
803	364	315
804	365	315
805	365	314
806	366	314
807	366	313
808	367	313
809	367	313
810	367	312
811	368	312
812	368	311
813	369	311
814	369	310
815	370	310
816	370	309
817	371	309
818	371	308
819	371	308
820	372	307
821	372	307
822	373	306
823	373	306
824	374	306
825	374	305
826	374	305
827	375	304
828	375	304
829	376	303
830	376	303
831	377	302
832	377	302
833	378	302
834	378	301
835	379	301
836	379	300
837	380	300
838	380	299
839	380	299
840	381	298
841	381	298
842	382	297
843	382	297
844	383	296
845	383	296
846	384	296
847	384	295
848	385	295
849	385	294
850	385	294
851	386	293
852	386	293
853	387	293
854	387	292
855	388	292
856	388	291
857	389	291
858	389	290
859	389	290
860	390	289
861	390	289
862	391	288
863	391	288
864	392	287
865	392	287
866	393	287
867	393	286
868	394	286
869	394	285
870	395	285
871	395	284
872	396	284
873	396	283
874	396	283
875	397	283
876	397	282
877	398	282
878	398	281
879	399	281
880	399	280
881	400	280
882	400	280
883	401	279
884	401	279
885	402	278
886	402	278
887	403	278
888	403	277
889	404	277
890	404	276
891	405	276
892	405	275
893	406	275
894	406	274
895	406	274
896	407	273
897	407	273
898	408	273
899	409	272
900	409	272
901	410	271
902	410	271
903	410	270
904	411	270
905	411	270
906	412	269
907	412	269
908	413	268
909	413	268
910	413	267
911	414	267
912	414	266
913	415	266
914	415	265
915	416	265
916	416	264
917	417	264
918	417	263
919	417	263
920	418	263
921	418	262
922	419	262
923	419	261
924	420	261
925	420	260
926	420	260
927	421	259
928	421	259
929	422	258
930	422	258
931	423	257
932	423	257
933	423	256
934	424	256
935	424	255
936	425	255
937	425	255
938	426	254
939	426	254
940	427	253
941	427	253
942	428	252
943	428	252
944	429	251
945	429	251
946	429	251
947	430	250
948	430	250
949	431	249
950	431	249
951	432	248
952	432	248
953	433	247
954	433	247
955	434	247
956	434	246
957	435	246
958	435	245
959	436	245
960	436	244
961	436	244
962	437	243
963	438	243
964	438	243
965	438	242
966	439	242
967	439	241
968	440	241
969	440	240
970	441	240
971	441	239
972	442	239
973	442	238
974	442	238
975	443	238
976	443	237
977	444	237
978	444	236
979	445	236
980	445	235
981	446	235
982	446	234
983	447	234
984	447	234
985	447	233
986	448	233
987	448	232
988	449	232
989	449	231
990	450	231
991	450	230
992	451	230
993	451	229
994	451	229
995	452	228
996	452	228
997	453	227
998	453	227
999	454	227
1000	454	226
1001	454	226
1002	455	225
1003	455	225
1004	456	224
1005	456	224
1006	457	223
1007	457	223
1008	458	223
1009	458	222
1010	459	222
1011	459	221
1012	460	221
1013	460	220
1014	460	220
1015	461	219
1016	461	219
1017	462	218
1018	462	218
1019	463	218
1020	463	217
1021	464	217
1022	464	216
1023	465	216
1024	465	215
1025	466	215
1026	466	214
1027	466	214
1028	467	213
1029	467	213
1030	468	213
1031	468	212
1032	469	212
1033	469	211
1034	470	211
1035	470	210
1036	470	210
1037	471	209
1038	471	209
1039	472	208
1040	472	208
1041	473	208
1042	474	207
1043	474	207
1044	475	206
1045	475	206
1046	475	205
1047	476	205
1048	476	204
1049	477	204
1050	477	204
1051	478	203
1052	478	203
1053	478	202
1054	479	202
1055	479	201
1056	480	201
1057	480	200
1058	481	200
1059	481	199
1060	482	199
1061	482	199
1062	482	198
1063	483	198
1064	483	197
1065	484	197
1066	484	196
1067	485	196
1068	485	195
1069	485	195
1070	486	194
1071	486	194
1072	487	193
1073	487	193
1074	488	192
1075	488	192
1076	489	192
1077	489	191
1078	490	191
1079	490	190
1080	491	190
1081	491	189
1082	491	189
1083	492	188
1084	492	188
1085	493	188
1086	493	187
1087	494	187
1088	494	186
1089	494	186
1090	495	185
1091	495	185
1092	496	184
1093	496	184
1094	497	183
1095	497	183
1096	498	182
1097	498	182
1098	498	182
1099	499	181
1100	499	181
1101	500	180
1102	500	180
1103	501	179
1104	501	179
1105	502	178
1106	502	178
1107	502	177
1108	503	177
1109	503	177
1110	504	176
1111	505	176
1112	505	175
1113	505	175
1114	506	174
1115	506	174
1116	507	173
1117	507	173
1118	508	173
1119	508	172
1120	509	172
1121	509	171
1122	510	171
1123	510	170
1124	511	170
1125	511	169
1126	511	169
1127	512	168
1128	512	168
1129	513	168
1130	514	167
1131	514	167
1132	515	166
1133	515	166
1134	516	165
1135	516	165
1136	517	165
1137	517	164
1138	517	164
1139	518	163
1140	518	163
1141	519	162
1142	519	162
1143	520	161
1144	520	161
1145	520	160
1146	521	160
1147	522	160
1148	522	159
1149	523	159
1150	523	158
1151	523	158
1152	524	157
1153	524	157
1154	525	156
1155	525	156
1156	526	155
1157	526	155
1158	526	155
1159	527	154
1160	527	154
1161	528	153
1162	528	153
1163	529	152
1164	529	152
1165	530	151
1166	530	151
1167	531	150
1168	531	150
1169	532	150
1170	532	149
1171	532	149
1172	533	148
1173	533	148
1174	534	147
1175	534	147
1176	535	146
1177	535	146
1178	535	145
1179	536	145
1180	536	145
1181	537	144
1182	537	144
1183	538	143
1184	538	143
1185	539	142
1186	539	142
1187	540	141
1188	540	141
1189	541	140
1190	541	140
1191	541	140
1192	542	139
1193	542	139
1194	543	138
1195	543	138
1196	544	137
1197	544	137
1198	545	136
1199	545	136
1200	546	135
1201	546	135
1202	547	135
1203	547	134
1204	547	134
1205	548	133
1206	548	133
1207	549	132
1208	549	132
1209	550	131
1210	550	131
1211	551	130
1212	551	130
1213	551	130
1214	552	129
1215	552	129
1216	553	128
1217	553	128
1218	554	127
1219	554	127
1220	555	126
1221	555	126
1222	556	125
1223	556	125
1224	557	125
1225	557	124
1226	557	124
1227	558	123
1228	558	123
1229	559	122
1230	559	122
1231	559	121
1232	560	121
1233	560	120
1234	561	120
1235	561	119
1236	562	119
1237	562	119
1238	563	118
1239	563	118
1240	563	117
1241	564	117
1242	564	116
1243	565	116
1244	565	115
1245	566	115
1246	566	114
1247	566	114
1248	567	114
1249	567	113
1250	568	113
1251	568	112
1252	569	112
1253	569	111
1254	569	111
1255	570	110
1256	571	110
1257	571	109
1258	572	109
1259	572	109
1260	572	108
1261	573	108
1262	573	107
1263	574	107
1264	574	106
1265	575	106
1266	575	105
1267	576	105
1268	576	104
1269	576	104
1270	577	104
1271	577	103
1272	578	103
1273	578	102
1274	579	102
1275	579	101
1276	580	101
1277	580	100
1278	581	100
1279	581	99
1280	581	99
1281	582	99
1282	582	98
1283	583	98
1284	583	97
1285	584	97
1286	584	96
1287	584	96
1288	585	95
1289	585	95
1290	586	94
1291	586	94
1292	587	94
1293	587	93
1294	588	93
1295	588	92
1296	589	92
1297	589	91
1298	590	91
1299	590	90
1300	590	90
1301	591	89
1302	591	89
1303	592	89
1304	592	88
1305	593	88
1306	593	87
1307	594	87
1308	594	86
1309	595	86
1310	595	85
1311	595	85
1312	596	84
1313	596	84
1314	597	84
1315	597	83
1316	598	83
1317	598	82
1318	598	82
1319	599	81
1320	599	81
1321	600	80
1322	600	80
1323	601	79
1324	601	79
1325	602	79
1326	602	78
1327	603	78
1328	603	77
1329	604	77
1330	604	76
1331	605	76
1332	605	75
1333	605	75
1334	606	74
1335	606	74
1336	607	74
1337	607	73
1338	607	73
1339	608	72
1340	608	72
1341	609	71
1342	609	71
1343	610	70
1344	610	70
1345	611	69
1346	611	69
1347	612	69
1348	612	68
1349	613	68
1350	613	67
1351	613	67
1352	614	66
1353	614	66
1354	615	65
1355	615	65
1356	616	64
1357	616	64
1358	616	64
1359	617	63
1360	617	63
1361	618	62
1362	618	62
1363	619	61
1364	619	61
1365	620	60
1366	620	60
1367	621	59
1368	621	59
1369	622	59
1370	622	58
1371	623	58
1372	623	57
1373	624	57
1374	624	56
1375	625	56
1376	625	55
1377	626	55
1378	626	55
1379	627	54
1380	627	54
1381	628	53
1382	628	53
1383	629	52
1384	629	52
1385	630	51
1386	631	51
1387	631	50
1388	632	50
1389	632	50
1390	633	49
1391	634	49
1392	635	48
1393	635	48
1394	635	47
1395	636	47
1396	637	46
1397	637	46
1398	637	46
1399	638	45
1400	638	45
1401	639	44
1402	639	44
1403	640	43
1404	640	43
1405	641	42
1406	641	42
1407	641	41
1408	642	41
1409	642	41
1410	643	40
1411	643	40
1412	644	39
1413	644	39
1414	645	38
1415	645	38
1416	645	37
1417	646	37
1418	646	36
1419	647	36
1420	647	36
1421	648	35
1422	648	35
1423	649	34
1424	649	34
1425	649	33
1426	650	33
1427	651	32
1428	651	32
1429	652	31
1430	652	31
1431	653	31
1432	653	30
1433	653	30
1434	654	29
1435	654	29
1436	655	28
1437	655	28
1438	655	27
1439	656	27
1440	656	26
1441	657	26
1442	657	25
1443	658	25
1444	658	25
1445	658	24
1446	659	24
1447	660	23
1448	660	23
1449	661	22
1450	661	22
1451	661	21
1452	662	21
1453	662	20
1454	663	20
1455	663	20
1456	664	19
1457	664	19
1458	665	18
1459	665	18
1460	666	17
1461	666	17
1462	667	16
1463	667	16
1464	668	15
1465	668	15
1466	669	15
1467	669	14
1468	669	14
1469	670	13
1470	671	13
1471	671	12
1472	671	12
1473	672	11
1474	672	11
1475	673	10
1476	673	10
1477	674	10
1478	674	9
1479	675	9
1480	675	8
1481	676	8
1482	676	7
1483	677	7
1484	677	6
1485	677	6
1486	678	5
1487	678	5
1488	679	5
1489	679	4
1490	680	4
1491	680	3
1492	680	3
1493	681	2
1494	681	2
1495	682	1
1496	682	1
1497	683	0
1498	683	0
1499	684	0
